densidad	temperatura	job	potencial_mean	potencial_2	cinetica_mean	cinetica_2	total_mean	total_2	presion_mean	presion_2
0.673	0.90	02	-4.049032274803739	16.397295641017415	1.3503624787068338	1.8294710825992424	-2.6986697960969055	7.291018755069226	0.06795450669865939	0.053697887955147204
0.673	0.90	03	-4.053089877729984	16.430561656203224	1.3499252737828873	1.829052540366717	-2.7031646039470965	7.317020935532302	0.059606973240833076	0.05767557078878797
0.673	0.90	05	-4.056524542086465	16.458077083166682	1.3440773138783477	1.8125932475844346	-2.712447228208118	7.366198273975958	0.058616518039874346	0.05163771026081246
0.673	0.90	04	-4.053201944055173	16.431073641047963	1.349012965308089	1.8264284238736666	-2.7041889787470845	7.321759820659106	0.04787604717526301	0.04972129294986845
0.673	0.90	01	-4.056271965698971	16.456140062311174	1.3478364616163936	1.8229211702062904	-2.7084355040825776	7.34480159702788	0.04700068084897422	0.05600502632423574
0.673	0.90	06	-4.046613175938674	16.377880025025846	1.3615366898119152	1.860935807271438	-2.6850764861267593	7.219681019229384	0.07327473283912234	0.05773424071731246
0.673	2.00	02	-3.4429835779486315	11.864294103158153	2.9957976260524473	9.007327624929808	-0.44718595189618443	0.24411687197960374	3.090401478828667	9.709422079428359
0.673	2.00	03	-3.446019913706968	11.885144096208203	2.994838160279	8.998519949286765	-0.4511817534279683	0.2455268488836424	3.066846202103378	9.559726261552408
0.673	2.00	05	-3.4462234522270903	11.886529507055519	2.981755768733322	8.920434682029775	-0.46446768349376816	0.2553260403103878	3.0658422648329045	9.543643313983772
0.673	2.00	04	-3.4450704181863667	11.878227845144425	3.005042249585953	9.059559670030556	-0.440028168600414	0.2292035611769758	3.061662858765032	9.5294929039976
0.673	2.00	01	-3.4444246689728737	11.874866285881483	2.996221990805132	9.003798215103044	-0.44820267816774206	0.23585484951842575	3.072088349476715	9.609065117114465
0.673	2.00	06	-3.4396820852774117	11.841050948517582	3.0220208744335735	9.160884658804877	-0.41766121084383817	0.21244369453479953	3.0890720947822636	9.694787918460973
0.673	1.10	02	-3.92414836079181	15.402720499754919	1.6619285883726955	2.7710276627090065	-2.2622197724191144	5.129415410198248	0.6610234594255592	0.5099603592062988
0.673	1.10	03	-3.9292591572180866	15.442585365138408	1.642334029288446	2.7058621288798084	-2.2869251279296403	5.242621787916584	0.6352834047518358	0.4707947484897213
0.673	1.10	05	-3.9249680309789343	15.408949966943414	1.6578821698319748	2.757469627778596	-2.2670858611469598	5.152978715625687	0.65029907736756	0.4906484674634921
0.673	1.10	04	-3.928201042162818	15.434663527962861	1.646198882865014	2.7194717445973073	-2.282002159297804	5.220104398582845	0.6425667138887836	0.4862996058871046
0.673	1.10	01	-3.929410199107741	15.44398547484767	1.6440913376777333	2.7117261265089163	-2.2853188614300075	5.235438386709753	0.6263535744740957	0.4591194379788924
0.673	1.10	06	-3.9242998482916756	15.403807069147234	1.6508550179950308	2.733771677785787	-2.273444830296645	5.181358919030704	0.6643534027255553	0.5109269457044554
0.800	0.90	02	-4.779574786263878	22.847805418490555	1.3530982980697444	1.836651048703148	-3.4264764881941336	11.750112969090784	1.1726694749865194	1.4572580899932912
0.800	0.90	03	-4.778497380023899	22.83730255000884	1.344426198017918	1.8137142374824802	-3.4340711820059813	11.8022203413858	1.1825622249476715	1.4762247840086185
0.800	0.90	05	-4.77637491989148	22.817355616941374	1.3445366328911512	1.8138905309003974	-3.4318382870003283	11.786765350971445	1.1910083240177638	1.5039051000007315
0.800	0.90	04	-4.7756306159159	22.81025884935371	1.357090800539882	1.8477985246711512	-3.4185398153760183	11.696007071339812	1.1975237755212536	1.5245082711413471
0.800	0.90	01	-4.779892894223454	22.851183689867884	1.3450268620738002	1.81509630750526	-3.434866032149654	11.808402255004122	1.1714415452739848	1.4607487078620085
0.800	0.90	06	-4.778312916350786	22.83623064888327	1.346744444352573	1.8207491960068931	-3.4315684719982134	11.786285300851706	1.182599560373365	1.4936235348959854
0.800	2.00	02	-3.9098662537068907	15.30013133713762	2.9986563517913303	9.0267014034966	-0.9112099019155605	0.8803241435582495	5.925143946821358	35.363500401350606
0.800	2.00	03	-3.9071999705854967	15.280418973055157	2.9999765187118346	9.027916955571204	-0.9072234518736622	0.8637043632766337	5.954485094353213	35.727652860824996
0.800	2.00	05	-3.9058145267568767	15.268619736812283	2.9838413171126983	8.934104620869192	-0.9219732096441785	0.8937468094178089	5.9480045334285885	35.636693982981605
0.800	2.00	04	-3.909862461521288	15.301036967645391	2.990978913882976	8.97734011314467	-0.9188835476383118	0.8914170677540073	5.924306871324088	35.37568833969987
0.800	2.00	01	-3.914432150968085	15.337738464215077	2.9842558332715194	8.935846244591664	-0.9301763176965653	0.9119631984374424	5.90331340666617	35.1420601765156
0.800	2.00	06	-3.8992001887187935	15.218394984841558	3.0141889476306836	9.116429213004645	-0.8850112410881101	0.8313587477163503	5.977162978777737	36.011253046240974
0.800	1.10	02	-4.610264868100329	21.259554733036705	1.6442060322971974	2.711856861834583	-2.966058835803132	8.81131979892973	2.1117788856859128	4.572383254869126
0.800	1.10	03	-4.605040858991716	21.211377324580504	1.6393632353052479	2.6960993925055	-2.9656776236864677	8.808512539285394	2.1371057005543297	4.68248003893159
0.800	1.10	05	-4.596797224824189	21.13554885069737	1.6565504407935137	2.752930152878632	-2.940246784030675	8.658069229020125	2.1718953869745428	4.83127514868126
0.800	1.10	04	-4.603862303385358	21.200581088703498	1.6512579334654343	2.735458348425388	-2.9526043699199236	8.731072062372396	2.142156573781608	4.703237218234579
0.800	1.10	01	-4.602179012357412	21.185063209294114	1.6520442492144853	2.738106835947272	-2.9501347631429264	8.717097511865916	2.148194895877384	4.728122037539535
0.800	1.10	06	-4.598557922653804	21.151625964752835	1.6535875335751342	2.7425551639160153	-2.9449703890786694	8.685991042234843	2.168470253278056	4.812911167738701
0.736	0.90	02	-4.422575246318886	19.562204754959684	1.3444626246593672	1.8134489336910327	-3.078112621659519	9.482766177310221	0.45514533203065655	0.27571093873576846
0.736	0.90	03	-4.426925769931353	19.600672333517828	1.3480618781112788	1.823454725132993	-3.078863891820075	9.488908264685875	0.4399687513884053	0.25850782108803877
0.736	0.90	05	-4.4252941092536	19.586530229622525	1.3555976211519918	1.843702787888123	-3.069696488101608	9.432338711590031	0.45324042607792786	0.2782995649912221
0.736	0.90	04	-4.426837571358496	19.599843954338734	1.3520047120225278	1.833886367943743	-3.0748328593359684	9.463565287837953	0.4489410610697641	0.2647220172501121
0.736	0.90	01	-4.427329133548412	19.60419128313112	1.3510543976244729	1.8310839258404268	-3.076274735923939	9.472230026673834	0.43603115908844076	0.25685341140459184
0.736	0.90	06	-4.423714881969267	19.57246372332945	1.3536865484630525	1.8389899369204161	-3.070028333506214	9.435454726651603	0.45986355499195986	0.27802117122476405
0.736	2.00	02	-3.7008938123091437	13.7089189620895	3.0176214146282128	9.137528529628769	-0.683272397680931	0.5103340470480738	4.272826364201476	18.474079534075187
0.736	2.00	03	-3.7028519752453892	13.72248991800937	3.0043715698636784	9.057345168850091	-0.6984804053817106	0.5299557522092916	4.2718492714187075	18.447171116392365
0.736	2.00	05	-3.701718311696995	13.71493174404124	2.9923861628197264	8.9845108789935	-0.7093321488772689	0.5464181554757763	4.269825562427514	18.440793653401695
0.736	2.00	04	-3.6942617008137986	13.659891260485667	3.009941100964748	9.091105829826986	-0.6843205998490504	0.5126334852631176	4.301393616790123	18.720388868359702
0.736	2.00	01	-3.7018273784628515	13.71493517998265	3.015753812965224	9.124635450244366	-0.6860735654976272	0.5146964171863355	4.266274006128315	18.39926438170327
0.736	2.00	06	-3.7073655418069498	13.756725455439554	2.9860128965110215	8.946964214783112	-0.7213526452959282	0.5655873067436216	4.248542846210262	18.264079533073314
0.736	1.10	02	-4.277785573784957	18.303911542044563	1.6511032213198558	2.735975482820774	-2.6266823524651013	6.912751894753367	1.2273347127794783	1.593943243588281
0.736	1.10	03	-4.282165247933651	18.340887313390894	1.6516612156301096	2.7376578299455416	-2.6305040323035414	6.9328430468370685	1.2063492016962034	1.5356396912712569
0.736	1.10	05	-4.280431151526637	18.32624952368436	1.6454639182132713	2.7165762993186764	-2.6349672333133656	6.955567301827781	1.2144453022463202	1.564382047166979
0.736	1.10	04	-4.285479008082962	18.36921402189785	1.6449230701416042	2.7149486509781746	-2.6405559379413583	6.9845924357654505	1.1870404174938625	1.4916256313761638
0.736	1.10	01	-4.285520136647143	18.370031560101268	1.654464675382996	2.7463391182971164	-2.6310554612641472	6.935545672881695	1.1913895104598384	1.5115318477306854
0.736	1.10	06	-4.277956150650758	18.305239658225144	1.6559975182090756	2.7522827087598913	-2.621958632441683	6.889244701090606	1.2230279809633744	1.5872846155235856
0.355	0.90	02	-2.646489608776628	7.018365361492779	1.3500724278113312	1.8290949679943638	-1.2964171809652967	1.7028685148840876	-0.012629142920216701	0.010277571843405536
0.355	0.90	03	-2.6474467929144683	7.020900162176617	1.3494460636412369	1.827390882838906	-1.2980007292732314	1.7026850791131976	-0.006448987360200818	0.009290289885726574
0.355	0.90	05	-2.641900085722742	6.993630051887586	1.352310812425452	1.8346563889251544	-1.28958927329729	1.682224558413086	-0.009044371734674714	0.010178802148016048
0.355	0.90	04	-2.6085979168571263	6.8185309561860885	1.3623996239734686	1.862312677454315	-1.2461982928836577	1.5728791791316166	-0.016805179140044594	0.009830035945940778
0.355	0.90	01	-2.630461601669768	6.933913712050397	1.3419984536898637	1.8069643917919957	-1.2884631479799045	1.6824383780678283	-0.012659517076210316	0.00961847346962069
0.355	0.90	06	-2.6258094089994604	6.908848982544427	1.3530961345960202	1.8366845026397354	-1.2727132744034402	1.6382731579797352	-0.009993950911680084	0.009356383528826695
0.355	2.00	02	-1.872828453775925	3.5122633448982747	3.0124838278691572	9.1059558821878	1.1396553740932323	1.3338026272385115	0.7247053616871318	0.5449603735826226
0.355	2.00	03	-1.8706315846580672	3.5033096937575037	3.007169958508531	9.073232695260277	1.1365383738504637	1.3259706241903508	0.7228957666747704	0.5420290218423653
0.355	2.00	05	-1.8729943461575895	3.5126922393237505	2.9943464783456095	8.997268602555128	1.1213521321880202	1.291563932723474	0.7169094640075448	0.5341379715481837
0.355	2.00	04	-1.873669491626997	3.5150944117207215	2.991076874276145	8.974226321473658	1.1174073826491477	1.2809344734099704	0.7211447675485354	0.5390494539757413
0.355	2.00	01	-1.8737283790231598	3.515695961075288	2.988122400991431	8.95793978607345	1.114394021968271	1.2746267577188934	0.7167577136419248	0.5355081595077266
0.355	2.00	06	-1.874453216560543	3.5182397262238054	3.0124347111153167	9.103612907299718	1.137981494554774	1.3277255086152053	0.7283747979614071	0.5505634483122097
0.355	1.10	02	-2.235958308956001	5.0057853071962	1.6529632628910054	2.741423226324794	-0.5829950460649957	0.35572203710537825	0.11124441381328874	0.02232666327977012
0.355	1.10	03	-2.236112535124958	5.006660098108677	1.6560663171021348	2.75176725628736	-0.5800462180228232	0.3536625444660535	0.10522081643849147	0.020233212769713623
0.355	1.10	05	-2.251011601799794	5.073175554123635	1.6554101333728555	2.749208898543936	-0.5956014684269384	0.36931813772345656	0.1070214589350373	0.021452436654947494
0.355	1.10	04	-2.244905304464117	5.045797405525338	1.6526628068337488	2.739867586929974	-0.5922424976303682	0.36552147242763705	0.10697198726314118	0.021920686835414697
0.355	1.10	01	-2.2398267242748	5.022904631662995	1.6515013704137405	2.7347086471750655	-0.5883253538610598	0.35942025328738997	0.11626041182096711	0.02400978322732877
0.355	1.10	06	-2.239507581925573	5.0212862885042195	1.6482297131941992	2.725376403995455	-0.5912778687313741	0.36536926049024143	0.11057974030479473	0.02374919664816295
0.300	1.01	02	-2.1192648149327624	4.501352169047479	1.5125506804342925	2.2948447975202106	-0.60671413449847	0.3845897240983779	0.05996698759504963	0.010227014783162966
0.300	1.01	03	-2.09362952752302	4.392918642004635	1.518826638669874	2.3136160395951846	-0.574802888853146	0.3449796536485195	0.06452272649417758	0.010977367007389936
0.300	1.01	01	-2.1156725452207206	4.485149626292651	1.5036928374513763	2.2684957154218277	-0.6119797077693443	0.39040083502170336	0.06346982480888706	0.010346411466794459
0.300	1.17	02	-1.8948019036271166	3.5956017832199083	1.7601611382139153	3.107888477297227	-0.13464076541320133	0.03276693157674572	0.13692838359964526	0.02498580513830749
0.300	1.17	03	-1.909115880340658	3.6506201806759377	1.7447685911150577	3.0533968902981683	-0.16434728922560052	0.04078356129628347	0.1398615581936866	0.025983510073535263
0.300	1.17	01	-1.8991660727998665	3.6129855148784675	1.7628658521566354	3.1176102812416193	-0.1363002206432309	0.03477234709978868	0.14881778896468587	0.02922186449535996
0.300	1.24	02	-1.8507891061081985	3.4302787044452887	1.8709806820825432	3.5110546875855104	0.020191575974344827	0.015375694755587943	0.17848986479152007	0.03774949931613816
0.300	1.24	03	-1.8485089375934738	3.4211691977266856	1.8613642964493764	3.4767658793061478	0.012855358855902593	0.017168103413452984	0.17983115331146463	0.038736250697967545
0.300	1.24	01	-1.855264114071184	3.446708695953719	1.8557162266595084	3.45444348317519	0.0004521125883244033	0.015059919246998036	0.18092975554745902	0.039146988880610904
0.300	0.70	02	-3.3626809238102093	11.31693646421063	1.0542281096528998	1.1147281807714544	-2.3084528141573095	5.34098632903278	-0.06842675165667554	0.011134471929660902
0.300	0.70	03	-3.382155469350096	11.45009605952782	1.0433428201944095	1.0919163871403703	-2.338812649155687	5.486112419802353	-0.07442210796551069	0.013569289308587975
0.300	0.70	01	-3.3738043708114898	11.392774424449822	1.0409090066354145	1.0870484663876716	-2.3328953641760752	5.455343773606718	-0.07221311845119355	0.01219402929116406
0.300	1.09	02	-1.9898572847169744	3.9668945287426105	1.6339743635997988	2.678493766065313	-0.3558829211171758	0.14221214015972494	0.10421859960935034	0.016927153125033585
0.300	1.09	03	-1.9936624933083689	3.9814402628397487	1.6359862019133042	2.685729476074781	-0.35767629139506474	0.1429751276022167	0.10176464435150598	0.01682386991726567
0.300	1.09	05	-1.98077495658172	3.9312009334510556	1.633202619595251	2.6759873343519	-0.3475723369864692	0.13724547658659464	0.10324644631551252	0.016850989886973325
0.300	1.09	04	-1.9958515239204266	3.9914806638680895	1.6331687582714869	2.6757126224635943	-0.3626827656489397	0.14899700572367766	0.1005224899428183	0.016375578571761928
0.300	1.09	01	-1.9756773693197685	3.9095624527507455	1.635851269168586	2.684936242364213	-0.33982610015118236	0.12926529502788134	0.10336619050526423	0.01691525166278371
0.300	1.09	06	-1.9788043640702286	3.922320643983466	1.64057148856425	2.7015532282246433	-0.33823287550597864	0.13078024425697826	0.1001318292011848	0.016660209442463894
0.300	1.10	02	-1.9834166190183782	3.9416274442708854	1.642336872839056	2.7059795214121634	-0.3410797461793223	0.13415248640369457	0.10571199638677109	0.01786553548885486
0.300	1.10	03	-1.975534484651192	3.910015825088067	1.6459857522673835	2.7186795302075266	-0.3295487323838084	0.12567097084442364	0.10401160656263227	0.01688751297247826
0.300	1.10	05	-1.977078852325633	3.9168325222183684	1.6545852841190374	2.747123929710113	-0.32249356820659586	0.12219320102221161	0.10348508797693275	0.01675106364371716
0.300	1.10	04	-1.9682238376886663	3.8801313409426954	1.6530991630464453	2.742289070953695	-0.315124674642221	0.11564907526906106	0.10838570095880043	0.01827654119060736
0.300	1.10	01	-1.96330815107954	3.8617935748067325	1.6522030951398259	2.738834340165027	-0.31110505593971416	0.1114216366666397	0.1100995301170346	0.01874846104161855
0.300	1.10	06	-1.963004896541909	3.860777922704373	1.646459812833392	2.721201511753461	-0.3165450837085169	0.11820858426998934	0.10681400532298702	0.01735431417320593
